;;;;;;;;;;;Entropia como media de dispercion de la densidad P([k_in,K_out]);Centralidad de grado in;;;Centralidad de Intermediacion;;;;Centralidad de grado out ;;;Porsentaje de enzimas tipo (Clasificacion:  cero K_in - K_out! = 0, Positivo K_in! - K_out > 0, Negativo K_in -  K_out! < 0 );;;Porsentaje de enzimas tipo (Clasificacion:  Transmisor K_in=0 K_out!=0, Receptor K_in!=0 K_out=0, Ordinario K_in!=0 K_out!=0 );;;Centralidad de cercania;;
Nombre;N_nodos;N_edges;grado_promedio;densidad;reciprocidad;asortatividad;intermediacion_grupo;cercania_grupo;transitividad;cluster_promedio;H;glycine hydroxymethyltransferase [EC:2,1,2,1]_x;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2,6,1,16]_x;adenylosuccinate lyase [EC:4,3,2,2]_x;transketolase [EC:2,2,1,1]_x;adenylosuccinate lyase [EC:4,3,2,2]_y;glutamine synthetase [EC:6,3,1,2];spermidine synthase [EC:2,5,1,16];glycine hydroxymethyltransferase [EC:2,1,2,1]_y;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2,6,1,16]_y;adenylosuccinate lyase [EC:4,3,2,2];%cero;%positivo;%negativo;%receptor;%transmisor;%ordinario;enolase [EC:4,2,1,11];transketolase [EC:2,2,1,1]_y;triosephosphate isomerase (TIM) [EC:5,3,1,1]
sai;276;485;1,757246377;0,012779974;0,24742268;0,327979061;0,029346673;0,154181205;0,212862319;0,234575308;4,273770674;3;2;4;0,000867065;0,001220969;5,31E-05;0,000159257;4;2;1;29,34782609;35,14492754;35,50724638;15,94202899;15,57971014;68,47826087;0,09812544;0,022229846;0,02031348
tac;240;471;1,9625;0,016422594;0,280254777;0,367195884;0,043332181;0,139513951;0,302694136;0,302162097;4,497441869;7;2;4;0,001092906;0,027747501;0,000436576;0,000193383;7;4;1;29,16666667;35,41666667;35,41666667;17,91666667;15,83333333;66,25;0,092165017;0,025627615;0,020002041
eco;682;1811;2,65542522;0,007798606;0,192159028;0,313522767;0,083856072;0,127802179;0,25017887;0,343522234;5,420439906;7;3;7;0,009916614;0,006400297;0,003217385;0,017340132;13;7;4;25,07331378;37,68328446;37,24340176;12,31671554;12,31671554;75,36656891;0,093286897;0,029134478;0,022909162
hsa;803;3066;3,818181818;0,00952165;0,270058708;0,240584949;0,080187765;0,15940695;0,274731236;0,427218557;6,289381343;11;5;9;0,007257936;0,004745598;0,003452633;0,006425494;19;5;6;17,80821918;40,59775841;41,59402242;9,838107098;8,96637609;81,19551681;0,112676936;0,089350106;0,083468246
ptr;811;3059;3,77188656;0,0093133;0,264138607;0,239629293;0,082718579;0,15934513;0,278134889;0,431662484;6,248137985;11;5;9;0,006970054;0,004972697;0,003398436;0,006178021;19;5;6;17,87916153;40,56720099;41,55363748;9,864364982;9,371146732;80,76448829;0,111511539;0,087055114;0,081043934
ath;787;2069;2,628970775;0,006689493;0,245529241;0,262880263;0,077624236;0,102512956;0,263467189;0,39294966;5,513960672;9;4;5;0,045337505;0,007483326;0,018339348;0,002574665;12;6;5;23,25285896;39,26302414;37,4841169;13,08767471;12,3252859;74,58703939;0,072393262;0,061274566;0,054097901
mmu;796;2953;3,709798995;0,009332828;0,263460887;0,20995518;0,084098989;0,156519071;0,275359211;0,42377333;6,197750322;11;5;9;0,008916799;0,005941485;0,003534576;0,006281504;20;5;6;18,34170854;40,07537688;41,58291457;9,422110553;9,045226131;81,53266332;0,112737296;0,111437266;0,086363881
cac;414;877;2,118357488;0,01025839;0,216647662;0,359465724;0,059442558;0,115749477;0,236583522;0,287451129;4,887960559;6;3;5;0,003527141;0,008694106;0,000149862;0,00086979;8;6;2;28,26086957;35,50724638;36,23188406;15,94202899;13,76811594;70,28985507;0,081466609;0,036615237;0,027990315
cel;483;1373;2,842650104;0,011795229;0,26802622;0,267402692;0,067333504;0,162838526;0,261594928;0,35054626;5,577313295;11;5;5;0,009546034;0,012575087;0,00276235;0,001255165;13;6;5;19,8757764;39,13043478;40,99378882;12,83643892;13,66459627;73,4989648;0,103789498;0,063551522;0,058304347
dme;522;1437;2,752873563;0,010567653;0,26861517;0,2376609;0,089915446;0,144918421;0,239993384;0,36167244;5,467035269;11;5;7;0,006417075;0,013755731;0,001936151;0,000564742;15;6;5;20,88122605;40,03831418;39,08045977;12,83524904;12,45210728;74,71264368;0,10340829;0,063125408;0,060450391
lma;288;592;2,055555556;0,014324429;0,25;0,332227402;0,085242906;0,146301587;0,233597285;0,280523065;4,799791802;4;4;4;0,011831594;0,00586196;0,019679065;0,015888319;8;4;3;22,56944444;39,93055556;37,5;17,70833333;18,75;63,54166667;0,091174773;0,034884686;0,026399222
sce;495;1253;2,531313131;0,010248231;0,252194733;0,290489294;0,074379142;0,12762365;0,264964789;0,336715535;5,340529553;11;4;6;0,008190599;0,0134252;0,006396289;0,002685779;11;5;4;24,24242424;37,17171717;38,58585859;12,92929293;11,71717172;75,35353535;0,080818883;0,043477475;0,039897549
sfx;610;1547;2,536065574;0,008328623;0,188752424;0,27246536;0,066823983;0,137225804;0,244447735;0,323017575;5,329541806;7;3;7;0,003782984;0,006152322;0,005090064;0,017533992;13;7;4;23,93442623;37,86885246;38,19672131;13,60655738;13,1147541;73,27868852;0,090996887;0,029072682;0,022273425
